Puzzle,Solution
060500007050041090000009306000010000309000005047000001400020709000007200600000000,968532147753641892124789356286915473319478625547263981435826719891357264672194538
002800059004070600500003040073000060050900820200030000000000598000000004000040730,712864359934571682568293147173482965456917823289635471341726598697358214825149736
004010000000900021000200534591000000740000003000007010270400000058009000009001705,824315976365974821917286534591632487742198653683547219276453198158769342439821765
000006000965100300000070000000560800000281003500003010053900027870000000000600100,718356249965142378324879561137564892496281753582793614653918427871425936249637185
080300000300900804000000310002000000007008100000000940900060700000800020610020038,184375296356912874279684315432196587597248163861537942928463751743851629615729438
200005000000000500040007080000500090800060000000934000079020060480300007650800340,218645739967283514543197286736518492894762153125934678379421865481356927652879341
740000100803000000005090000030050900060003000000010000000008060071040095500061700,746835129893124657215796348132457986967283514458619273329578461671342895584961732
071000500000000008809000140000030061000000004300900000006097000004005800510080007,671248539432519678859673142925834761168752394347961285286197453794325816513486927
900580600300000570008000000060703000000020000027900050700200040002874360000000000,974581632316492578258637194865743219439125786127968453783216945592874361641359827
083000021021300805000000000005000094100004000060500000400000108000039060000006000,783465921621397845549218673875621394132974586964583712496752138258139467317846259
003067000020000700080000060002003900000170430001400006060000000009700018800036209,143867592926351784785249163452683971698172435371495826264918357539724618817536249
003000015007000800591000007600018004059000000000300070000407009070006000400800000,843972615267541893591683427632718954759264138184395276316427589978156342425839761
412000000053007042000000030070000000000000815040000003200940000000305087009000200,412563798653897142798412536375681429926734815841259673287946351164325987539178264
000000000624070130103000004500000000030000200000060007005100090700046310002050006,957431628624578139183629574579812463836794251241365987465183792798246315312957846
000540000030019050420000000600023008082060100000090400510000000090080000003001090,169542387738619254425738619654123978982467135371895462516974823297386541843251796
002009000007000059000000060000005000090002008000007140104050097070820600500070080,862549731417263859935718462743185926691432578258697143184356297379824615526971384
007006408000090000060005000040000100500840000000007050074103080003050700900004300,357216498421398675869475213748529136536841927192637854274163589683952741915784362
070900103400000960050000000000607080800001300067890500010005608090000015000000400,678924153432518967951763824145637289829451376367892541713245698294386715586179432
300010005201640007450000100000407201000021034000030050000370400000000000090000006,379218645281645397456793182938457261567921834142836759625379418814562973793184526
050401703000305190091067000000000846006030005045000900007000300009000010000000008,258491763674385192391267584132759846986134275745628931467812359829543617513976428
200506809001000600040070010000050002000024000000609100000000906600008070002000085,273516849591483627846972513419857362365124798728639154187245936654398271932761485
002000009080000007945000000200069705500080420074002600057600000460905000300070000,732846519681593247945217368213469785596781423874352691157628934468935172329174856
007000000800400009040097600004005900390060480050010060000000030000003040060000700,917236854836451279542897613674385921391762485258914367425679138789123546163548792
000200000172000009004600010090106032700300040000080070009000027020800000000001000,536219784172548369984637215498176532761352948253984176319465827627893451845721693
602000080014200000000800000287000000000900000309000700043008900000390160000071028,632719485814253679975846213287134596451967832369582741143628957728395164596471328
208070500006000231010000089000020600002300000000085000000800000095010320000593010,238971564976458231514236789789124653152369847643785192361842975495617328827593416
000000004750006000036107000075001000000000000619070000090062000100903005003000072,981325764752846139436197528275431896348659217619278453594762381127983645863514972
000001500000605002000070000009208015601000800200000007000762000010900000708503009,896321574137645982524879361479238615651497823283156497945762138312984756768513249
900008000000000047005020001400380710070000002010002008100000004080095030003204000,947158623821639547635427981492386715578941362316572498159863274284795136763214859
004000600000007025006000007300000000000000304068500000000350090092046850040029006,274195638831467925956238147329674581715982364468513279687351492192746853543829716
000000003000002900006390700020000006000540000457061000960030050004709600702000030,249675813375812964816394725123987546698543172457261398961438257534729681782156439
870000000000100006010009000400090207780041050000800400590608700000000001000205000,873462195249153876615789324431596287782341659956827413594618732328974561167235948
405000000106004000098256000030005000500910000009400003000300004910000008003002015,425179386176834592398256471231765849584913267769428153657381924912547638843692715
000305600000000000080004003900700008000043000000080020630500704002070000508009060,749315682253867149186294573964752318827143956315986427631528794492671835578439261
907001008000000040000093120090104503400020000081700000275310000040000000103000000,927451638318672945654893127792184563436925871581736294275319486849567312163248759
000000003320000007000000010007100000032570800605240700000600500050400002060302400,519724683324861957876935214497186325132579846685243791248617539753498162961352478
003008015610000000059004000900000640040000003300500000100800000000010736090005400,473698215612753894859124367985371642247986153361542978134867529528419736796235481
008703000000006030000400005204690000590030002000200704000000007000348200806000900,968753421475126839132489675214697358597834162683215794341962587759348216826571943
000600200090000040000040580560020470047980600102000000000400800050000000010890060,475618239893572146621349587569123478347985621182764953736451892958236714214897365
167000009800000305000006200008013500610009002003000010000090006709000020000005000,167352849842971365935846271278613594614589732593724618381297456759468123426135987
006045207407200001000000000100700005500003006290600704000007000000400900610090000,986145237457239861321876549168724395574983126293651784849317652735462918612598473
002300705300080000000500009800000000705000006003060000070009560000024080026800000,982346715357981624641572839864793251795218346213465978478139562539624187126857493
004000300000000080060010000095608000008490500070503060000000190800105046000000850,784256319912347685563819274295678431638491527471523968356784192829135746147962853
004000879000040000800000052008900100010000007000067500905000018000280000000500940,654312879297845361831796452768953124513428697429167583975634218146289735382571946
004560800690007403008390500009700005037000000400000000000000000153008000070600309,314562897695187423728394516289713645537426981461859732946235178153978264872641359
046270000720900006000100042000020001301704608000300970903400010000000000004000030,146278593725943186839165742497826351351794628682351974963487215218539467574612839
006000000020006010018302007800600050000750009000100063090000076050800020000000300,746918532329576418518342697831629754264753189975184263192435876453867921687291345
000400000908030000000590008506000049000600002300000000780060900002004857000002306,165478293948236571273591468516823749894657132327149685781365924632914857459782316
060000400000070000007340000104007006005060000000900350002030097300000520000120004,269581473483679215517342869134257986925863741876914352652438197341796528798125634
000001000071305002040000000300500007000000903200730040800004090430000200005000100,582461739971385462643927518394516827167842953258739641816274395439158276725693184
000005070000024000000080090009400500700000008060000030072090083308600902500002060,836915274957324816241786395189463527723159648465278139672591483318647952594832761
006540000590300000130690007270006905000002000000000100040000002050000046000000370,786541239594327618132698457273416985415982763968735124847163592351279846629854371
409000600060400750000020030000500000103000400020009001795000010600000920002000007,439175682261438759857926134948517263173862495526349871795284316614753928382691547
080300001400005000000080060030001000501400080079806000090600400000014609000008070,687349521413265897952187364834721956561493782279856143395672418728514639146938275
000000670008060001000417000000600090000871002000004150560009800400025010200000004,134298675978563241652417389841652793395871462726934158563149827487325916219786534
050023860006489050004050000400030070080002603000008500000000000360000000000007392,957123864236489157814756239425631978189572643673948521792315486368294715541867392
009800600000002000700005000910000580020058004004001070600200407000060100001004000,159873642863142795742695831917426583326758914584931276638219457495367128271584369
009830007030497008000000000000200000001549000503100009100000075004000930007025400,469831257235497168718652394946273581871549623523186749192364875654718932387925416
600540020700800900504790000000600700070000509000000084000000000060100002940070806,689541327712836945534792618458629731273418569196357284825964173367185492941273856
800605001410070000050000078100304000304009006700060000000510000040098000500000807,873625941419873562256941378162384759384759216795162483938517624647298135521436897
050000007200006000007080006090001000000408100401070005000000600000260900700059004,956324817248716539137985426692531748375498162481672395529843671814267953763159284
000001000038000540000400809000900710000800953000003000009106000086007300500000004,974581632238679541651432879463925718712864953895713426349156287186247395527398164
080043000000190000000058010954030600003000000600500003015900040790000080300000000,281743965567192834439658217954837621123469758678521493815976342792314586346285179
000000000040050209000041780004009003509000074008020010007000400000205000010003000,875692341341857269296341785164789523529136874738524916657918432483265197912473658
820300009000008003500040078005000000064250007030000400900002300000400006000006000,827315649649728513513649278795864132164253987238971465976182354351497826482536791
050602000003405600000000000020360000309800000806200005004000920200900410100000000,457682391913475682682193754521367849349851276876249135734516928265938417198724563
000020050046090700270034900009007402004000500730050000800000060000000000000286040,398721654146598723275634981519867432684312579732459816827943165463175298951286347
800200000000010850001050079700039008650002000090600017200000090003000600000000001,875293146936714852421856379712439568658172934394685217287561493143927685569348721
000500030030802510800070200004050000203004980000200000100008000400020000000791000,742516839639842517815973264984357126273164985561289743157438692498625371326791458
000900000000000060005100000000000080006010070000007094900040006031680005050079800,163928457249753168875164329327496581496815273518237694982541736731682945654379812
004100000009020108000700052090000700100080000000000020830471000750200803002003000,524168379379524168618739452293645781167982534485317926836471295751296843942853617
000180000020000008000000600006340920003010006009000730300060000702039160008001007,437186592621593478895274613186347925573912846249658731314765289752839164968421357
407050900000087010150304000900000307000000100040000000008000709300901600060000000,487156923693287415152394876926415387835672194741839562218563749374921658569748231
020000010001004000300009200900007000048000009006400001062800037100060004007000020,529678413681234795374519268915387642748126359236495871462851937193762584857943126
002900030608700000010000000160003000000000090037800000070008320800500079920070006,752946831698731245314285967169423758285617493437859612576198324843562179921374586
700400000014090000030050000000300500400000208009000130020900010800027050005014000,762481395514293687938756421186372549453169278279548136627935814841627953395814762
000704000530089400007060900000000703798000500000000000900020806040300007000005020,289714635536289471417563982124958763798632514365471298953127846842396157671845329
080000000003000000007009200070900000051080073809000002000000005008700031200430008,984562317123847569567319284372951846651284973849673152736198425498725631215436798
200800070480720560070000800000300100002050000100000000001063082500100040000004000,215836479483729561679415823967342158832651794154987236741563982526198347398274615
002000500301005790870090032400500000507489000030000050000040803000100000020000000,692371548341825796875694132419532687567489321238716954956247813784153269123968475
050300000000069000019004000006007051003000607000650003084000900700040005300010000,457381269238769514619524378926437851543198627871652493184275936762943185395816742
040006805700040010500001000080900000170800050002067090000000000000190000004600002,941376825728549613563281749486915237179832456352467198695724381237198564814653972
300050006060109050007000003054890000080000004003001000000083000010060000009004607,321457986468139752597628143254896371186375294973241865642783519715962438839514627
030501090090076000670083001089020000100000060002008007000010000000800020000000530,238541796591276483674983251489627315157439862362158947925314678743865129816792534
200000080000009604605040900070200046086000002000008001000000000109605000007491000,294316587738529614615847923971253846586174392342968751453782169129635478867491235
006000790030000000090050040040095023500000070200071050405007016000000034000000000,856134792134729865792658341647895123519263478283471659425387916978516234361942587
507000090000800401038001072000500000209000000040300980700000020091000003003000704,517243698962857431438961572386519247279486315145372986754638129691724853823195764
630001000000000076000000000200050100000006035070010000120540097050030040700600300,638471529512389476497265813269753184841926735375814962123548697956137248784692351
000000010500000000620009008006008350000060800390400000130980500000203000982014000,849637215571842693623159478216798354754361829398425167137986542465273981982514736
000000500807000003320000810060003000001000200000015790030007000100002059000600102,694381527817524963325796814569273481741968235283415796932157648176842359458639172
009000000640009000800540003000070000394008000706000000003020004580007600007300905,139782456645139278872546193258974361394618527716253849963825714581497632427361985
003000400000307000800002009200000803570000000010029704000801000000543290000000500,763915482942387165851462379296754813574138926318629754425891637687543291139276548
000084007000000902462009500009000700030000008008000250900002300000008005076300000,395284167817563942462179583259816734731425698648937251984752316123698475576341829
702150300056000000000000090504010000200096003060002000009000006000003070300020100,742159368956837214138264795594318627271596483863472951429781536615943872387625149
070020905000900041001000032090000000800750000010489000000090003030800000580170000,374621985258937641961548732496312578823756194715489326647295813139864257582173469
000000024049002030075040100000000743100000000000060050000300000500900270010620000,381796524649152837275843169926581743157439682438267951892375416563914278714628395
000705020700008000300000000009300800080059071000102040105000984800001007070090005,948735126726918453351426798519347862482659371637182549165273984894561237273894615
000007490054900673001000000040070300060400000005060000000003800800010040000040900,683257491254981673791634528948175362367428159125369784472593816839716245516842937
295000000000800000700650000800060000600040009030000504907000200000080050060030080,295473618316892475748651392854369721672145839139728564987516243423987156561234987
004000590000007061000900000001702900000500020409000000005230700100000004000060010,374126598958347261216958437561782943783594126429613875645231789132879654897465312
080540009400903002900801040500000800000000031200700005000000050010009008040208000,182547369457963182963821547596132874874695231231784695728416953615379428349258716
000036580000049037000200000020080050000053006008000400000067900350008760040000000,972136584165849237834275691623784159417953826598621473281367945359418762746592318
806040000009057003000800000000000290600400000007003800000000000000200049438600502,876342915249157683513896427384571296695428731127963854952734168761285349438619572
300000000070004109090060800240070000000103000800000030000029000934680000000340007,325918674678234159491765823243876591756193482819452736167529348934687215582341967
000002000020054607540900000001207040060005001009108200000000920000000004600009180,796312458123854697548976312381267549267495831459138276875641923912583764634729185
300010000042009100590300000004000069050000400239000005600700510900000600003200000,367415298842679153591382746184527369756938421239164875628793514975841632413256987
100080004000410075940705006800000450000007010600000003065070000030500007000001000,157286394386419275942735186873162459524397618619854723265973841431528967798641532
070020018809001005030000060300050000007000000001608000080007001010030002902000006,576324918829761345134589267368952174257143689491678523683297451715436892942815736
002000400000007060065900010000100500000070600010042000001009000006250090029006340,972361458148527963365984712687193524294875631513642879751439286436258197829716345
800006000370000900000002060040820700020000034000700500000000050900608000000930070,812596347376481925594372168645823791728159634139764582463217859957648213281935476
401000053085000000000400009000000002309800004006000900260005400000100008004038590,471689253985312647632457819847591362359826174126743985268975431593164728714238596
200000690040000201013000054005000906600005010002080000000000300009430065030008020,258741693746953281913862754185274936674395812392186547461529378829437165537618429
000601200000540000608030000000000013080003000150000006200080600306000045000700000,534691278721548369698237451462875913987163524153429786215384697376912845849756132
700102600000600789004000010061000000009007000200000060040200800900008000380094070,798152634125643789634879512861925347459367128273481965547216893912738456386594271
069513800000060000043000600300000006000000000801000350004100500030029180082300000,769513842218764935543298671357841296426935718891672354974186523635429187182357469
004207500005000028000900000603800004002009070800005609030400080020003005006000000,364287591975136428281954736693871254152649873847325619539462187428713965716598342
008140000000000070450900000000020000003780014871000002500004030037000008100300020,798146253316258479452973861945621387263789514871435692529814736637592148184367925
006000009004500002700004600000795480000800000800140200000000000001950000089027000,256378149314569872798214635162795483947832516835146297573681924421953768689427351
000000071000080530000006002000960050610073000700005000020000800030009005000058319,852394671961782534347516982283961457615473298794825163529137846138649725476258319
000040005003700810000600900058000390000910000340800006095070000001000400470000000,982341765563729814714685923158467392627913548349852176895274631231596487476138259
850012000060030500300096000000000006010000084002001300085004003000000809000000010,859412637264738591371596248748359126513267984692841375185924763426173859937685412
100000240005080100000040608008000000030200000602004000320006000806000923010900060,187639245465782139293541678948167352731258496652394781329876514876415923514923867
050000000410000030007030900620000700004090010700000500000000405003720600000051000,359284167416975832287136954625813749834597216791642583178369425543728691962451378
080003620300807050400000070060000500090004000002000000000902000000040800700038400,987453621316827954425196378864271593193564287572389146648912735231745869759638412
300005009010090780000048250500270340900400001000050092700000030000000000090010000,348725619215396784679148253581279346926483571437651892752964138164837925893512467
000200408003004200000001300007020050000078010030540000001800000040000600025000000,516237498983654271274981365497126853652378914138549726361892547849715632725463189
000300006000000008000050340400000020060800005050103009800001000690000200204680031,547328916326914758918756342489567123163892475752143869835271694691435287274689531
000009340400705000106000070901000004600000739002000000000500006000003020005002910,587169342423785691196234875971358264658421739342976158239517486814693527765842913
000000360800001000040003501000105470530000000900800000000600095100000007009000600,215487369893561724746923581628195473534276918971834256387642195162359847459718632
400073001000000000100060070020400017000090004900000203038900000000001006006002000,469573821873129465152864379625438917381297654947615283738956142294781536516342798
000000610100008000002000080507406000400010000800007300060700000700003045201004000,985342617143678259672195483527436891436819572819527364364751928798263145251984736
800107050000048003060000001397500000508010400000800700700000000000401000000000069,832197654175648923469253871397564218528719436641832795713986542956421387284375169
027080005400000000000000002030025080000608004006000507805092403040000906000070008,627981345453267891918534762134725689579618234286349517865192473741853926392476158
000000070000600000050109000002000000009400701001206940400000009807900005200080000,923845176178623594654179832342791658569438721781256943415367289837912465296584317
708013095000400000000597001809000000000070040000801003007150080000009200000020154,768213495195468732234597861849632517312975648576841923627154389451389276983726154
900000000040000030205030000002900001300000040018007059000802700090100000000745008,936471285741258936285639417562984371379516842418327659154892763897163524623745198
800009700010600000903000460405010000000090010000080657604003009070000300009000100,846539721217648935953271468425716893768395214391482657684123579172954386539867142
700000009203008000009000000006870000000090630900500700830100000601700900000032018,714326859263958174589417326356871492178294635942563781835149267621785943497632518
700058000000040000028000000009002400100500800006071009205080007090010000040007006,764158392931246785528739614359862471172594863486371529215683947697415238843927156
680000009000800645000020000300090074500406020000030906248000000760000000009000800,687354219932817645415629783326598174591476328874132956248961537763285491159743862
000000832900100000420500000000000096000040000100902085009050000060890051210060000,651479832983126547427583619532718496798645123146932785879251364364897251215364978
003081092850000400401009000000000910060310020030002000500920000000058000000103800,673481592859236471421579368742865913968314725135792684584927136317658249296143857
100000000004000700000040096051900400900500003000000020600105000009000061005070002,197856234264391758538247196351962487972584613486713925643125879729438561815679342
830900000002000970009006008000007040370005000006800000905230600000604000083500000,837912456562483971419756328298367145374125869156849732945238617721694583683571294
080019400090500008040700950070005806501308070000000300008007090004000000000006000,385219467792564138146783952473925816561348279829671345238457691654192783917836524
000000700060008540007006000001070000008060374000009100004000060900045800805000019,352914786169728543487356921241573698598162374673489152734891265916245837825637419
000010040000302006007006210900005170001000304300000002000000000000970000600040500,236817945149352786587496213924635178861729354375184692713568429452973861698241537
002004600070309000000000000090100000000008004000037980010096008940070000037010020,152784693476329815389561742893142567761958234524637981215496378948273156637815429
000000060000400700067038490800000070000300800040007309080060004500800006320050000,431795268958426713267138495893542671675319842142687359789261534514873926326954187
850002000067530080203000040000300400000680701300007008000804370000000000600020000,859472163467531982213968547786315429542689731391247658125894376938756214674123895
407006000903700000600900450800000100064000708000000500509308010000000090300650000,427516983953784261618932457895473126164295738732861549579328614286147395341659872
090005000050700000000040000002600070000480009940000006200000908480509360000060457,798125643654738291123946785832691574576483129941257836265374918487519362319862457
029004800000300001000000500000400128090208634000000000040000300006009280508000009,129574863465382791837961542653497128791258634284136957942815376316749285578623419
007030812003000000000000000018004030004000609300000200090702004000009007601043000,547936812283175496169428573918264735724351689356897241895712364432689157671543928
000000004000100753000350006105078009030000800000600001600004000000000065790060400,563987124829146753417352986145278639936415872278639541651824397384791265792563418
000000907703900050008000042000570036002000005000000090007890000200050800900034000,425683917713942658698715342849571236372469185561328794157896423234157869986234571
000000030000006002420000000000709060009800070080030910806000000002007300390684700,961275438758346192423918657214759863539861274687432915876123549142597386395684721
000060000050040700000027000030000605000003004040000070004500000203084501006031402,387165249152948736469327158738419625625873914941256873814592367273684591596731482
000260500000000040000054309054009038010030900000000104030095001040800000600002000,493268517572913846168754329754129638816437952329586174237695481945871263681342795
001600503060400009800300000008042005000000024003100080002006401000000000006031002,721698543365427819894315267618742395957863124243159786572986431139274658486531972
000047260000060090000000057007004000000000030200700084030090000080605009400032670,391547268574268193628913457967384512845129736213756984736491825182675349459832671
000000902007000000000008060001820030000001000020307006014080000603900280002700103,486135972137692458259478361761829534348561729925347816514283697673914285892756143
700056003000800005000000000010000000047103080008000000900315600600080007804000509,789456123163829475425731896316298754547163982298547361972315648651984237834672519
000000820004050003276083010000000080001000300083070050010000670007640000300008000,135967824894251763276483915752396481641825397983174256418532679527649138369718542
027900000001870050600010003000009000300500090002000000080760001070001985000000600,827953416431876259659412873145689732368527194792134568984765321276341985513298647
300807004050000000000036900010900080040000000705300001090600008037100000001050060,329817654156492873874536912213945786948761235765328491592673148637184529481259367
000460000900008000006020000000000400000096302020000089064089100300004050890350640,238467591945138276716925834189273465457896312623541789564789123372614958891352647
000000000000900360830000001000030000006009507050070890009000200000806000260300700,692713485417958362835264971978531624326489517154672893589147236743826159261395748
035000020007000000010030908279580100000097000000301000003070209600000000028000030,935718426867942315412635978279586143381497652546321897153874269694253781728169534
007508003300070068020940000000000005005390000000820030000000000000007402048200057,917568243354172968826943571263714895785396124491825736672451389539687412148239657
750002003030000480804950100109000700000807000000090000300078050000200000000345010,751482963932716485864953172189534726643827591527691348396178254415269837278345619
064000720780500003320400058000000000600201480000680030070300004000006000000812000,564138729781529643329467158418973562693251487257684931876395214132746895945812376
060000000000406010000700000030007009020035076000200040095014700070300000001600052,167583924983426517452791638536147289824935176719268345295814763678352491341679852
000901000040008000002075000006000480400000000500060002701800060200009047000020018,375941826649238751812675934126597483493182675587463192731854269268319547954726318
000100000000000496634000000040300002506207000002040650000010507000000000000703120,259164783781532496634879215148356972596287341372941658923418567417625839865793124
007000300500000400000415076010000007754000000906000000000503900005960210000020003,147896325568237491293415876812359647754682139936741582421573968375968214689124753
305400002000600100400070805670001408208760050100008020000800000030500006000010000,315489762782635149469172835673251498298764351154398627547826913931547286826913574
003000001000150900510060040300600200200000310900000004000090420000203000009008000,693824751842157963517369842385641279274985316961732584138596427456273198729418635
005000000100500490000036805300460900006000008208000300000001060000000200094050031,785294613163587492429136875351468927976325148248719356832971564517643289694852731
000000008090002030000010000020004053900300800500001006009003100400085000600000420,714536298895742631362918574128694753946357812537821946259463187471285369683179425
009000084000700190000000300630907200001000049700801600060430000010000000407106900,279613584356784192148592367635947218821365749794821635562439871913278456487156923
900600000070034000008010067090003200023000071700000608000080009000000700060029010,912657483675834192438912567896173245523468971741295638154786329289341756367529814
003009000050000623000000040030900500000002090001000004004080100200043800860005000,643529718759814623128736945432961587586472391971358264394287156215643879867195432
070200050050003001301800904000120000105084030009007000800050000000700000002400700,978241356254693871361875924743126598125984637689537142817352469436719285592468713
060000490000000000080000060100800000028004300049020000092080100604090780070016240,263758491957641832481239567136875924728964315549123678392487156614592783875316249
000400000564000230070205800010700000002000540000003000007000000301500067020006300,289431675564897231173265894816754923732918546945623718657349182391582467428176359
006500010000100007000000900100004000000809570007060094020407000501620040480000000,746593218952186437318742965195374682264819573837265194629437851571628349483951726
000060700800400025970000060040009230080000070000000000005008000620000380000607009,354962718816473925972851463547189236189236574263745891795318642621594387438627159
004800000000000200000000005100004070005006100702010590000290700006005042080060000,914852637537641289628739415193524876845976123762318594451293768376185942289467351
000247000000350000000106000000000500013405008007800020064000103800003706705000082,356247819182359467479186235648932571213475698597861324964728153821593746735614982
000065001000010850000000200405820060300100070000003580230006000000080007600500020,824965731973214856561738294495827163386159472712643589238476915159382647647591328
007240000000005000050906003270000004006000000049000250480070000602000000005400900,967243185328715496154986723271598634536124879849367251483679512692851347715432968
000600000090000050024000010100400000050012000000370200001000049300760020200004700,513648972798231456624957813132496587957812364486375291871523649345769128269184735
000000005150002004042000060039050000024106000000400020000000903003005010060000547,796814235158362794342597168639258471824176359517439826475621983983745612261983547
200500000195000000000970002000302710000850039049100000052000070430000001000700080,274536198195248367683971542568392714721854639349167825852413976437689251916725483
009053010060900000000100030000706000480005091000000785000304000010090307600000800,749653218361928574852147936195786423487235691236419785978364152514892367623571849
000203007009080030020090000040000080607002000390007000008900200400018093000000000,864253917759481632123796845241539786687142359395867124538974261472618593916325478
005000300800060100400003050050301000062900000308200905000000009100004000000095600,675419382823567194491823756954371268762958431318246975546732819139684527287195643
200007083098000070000000001029000005004300000030085000081049057000018940000030000,215497683498163572763852491829674135574321869136985724681249357352718946947536218
310500200000000500006000070004002316000490050200000940420000090903000000050003600,319587264782614539546329871894752316631498752275136948427865193963271485158943627
000000000005030070038409000000003800004906000000500000600208097050700300027004608,291675483465832971738419526572143869384926715916587234643258197859761342127394658
000000000000006300040000700720000093000200050010034607054020060260003001000500000,571342986892176345643958712728615493436297158915834627354721869269483571187569234
000057890000008004000329000004092605030000000005000948000800000903000050002000400,326457891597168324148329576814792635639584712275631948451873269983246157762915483
068040000000900003400001060007029000040000000012008000003000700700010082200800610,368745291521986473479231865837129546945367128612458937183692754796514382254873619
000001700300060050000003000080300107703054800100000035000006081000008260600000004,864521793371869452259473618586392147793154826142687935937246581415738269628915374
060230009000504000020010000000009000040600005600080090200800001015002030034100506,567238419189574263423916857351749682948621375672385194296853741715462938834197526
140002370008000000005761000000007048007850000020400000704100230002600000510000000,146582379278934516935761482651327948497856123823419657764198235382645791519273864
020006840000000300000000007006074010071308029093060000000000106000001700300000084,729536841864217395135849267286974513471358629593162478942783156658491732317625984
000500000000306000040010050059140073070000048000009010000000407400001860000095000,627584139915326784843917256259148673176253948384679512531862497492731865768495321
008075009002000060790800300020003600000000010060500008080060100270000000900010000,638175249512934867794826351125783694847692513369541728483269175271458936956317482
040530000600008000095004000700900008000870340000000500900000070008700010000050400,142537869673298154895614732731945628569872341284361597916483275458726913327159486
